Time                CORE-spark-VM       YK-spark-VM         CT-spark-VM         WT-spark-VM         CORE-kafka-VM       YK-kafka-VM         CT-kafka-VM         WT-kafka-VM         CORE-cassandra-VM   CORE-spark-cont     YK-spark-cont       CT-spark-cont       WT-spark-cont       CORE-kafka-cont     YK-kafka-cont       CT-kafka-cont       WT-kafka-cont       CORE-cassandra-cont 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1485548108               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548115               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548122               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548129               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548136               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548143               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548150               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548156               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548163               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485548170               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   2                   1                   
1485548176               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   3                   1                   
1485548183               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   3                   2                   3                   1                   
1485548190               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   3                   3                   3                   1                   
1485548196               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   3                   3                   3                   3                   1                   
1485548203               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   3                   4                   3                   4                   1                   
1485548210               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548216               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548223               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548229               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548236               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548243               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548249               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548256               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548263               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548269               1                   1                   1                   1                   1                   1                   1                   2                   1                   2                   2                   2                   2                   4                   4                   4                   4                   1                   
1485548276               1                   1                   1                   1                   1                   1                   1                   2                   1                   2                   2                   2                   3                   4                   4                   4                   5                   2                   
1485548283               1                   1                   1                   1                   1                   1                   1                   2                   1                   2                   2                   2                   3                   4                   4                   4                   5                   2                   
1485548300               1                   1                   1                   1                   1                   1                   1                   2                   1                   2                   2                   2                   3                   4                   4                   4                   6                   2                   
1485548318               1                   1                   1                   1                   1                   1                   1                   2                   1                   2                   2                   2                   3                   4                   4                   4                   7                   2                   
1485548330               1                   1                   1                   1                   1                   2                   1                   2                   1                   2                   3                   2                   3                   4                   5                   4                   7                   2                   
1485548337               1                   1                   1                   1                   1                   2                   2                   2                   1                   2                   3                   3                   3                   4                   5                   5                   7                   2                   
1485548344               1                   1                   1                   1                   1                   2                   2                   2                   1                   2                   3                   3                   3                   4                   5                   5                   8                   2                   
1485548351               1                   1                   1                   1                   2                   2                   2                   2                   1                   2                   3                   3                   3                   4                   6                   6                   8                   2                   
1485548358               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   5                   6                   6                   8                   2                   
1485548364               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   5                   7                   6                   8                   2                   
1485548371               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   5                   7                   7                   8                   2                   
1485548378               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   6                   7                   7                   8                   2                   
1485548385               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   6                   8                   8                   8                   2                   
1485548391               1                   1                   1                   2                   2                   2                   2                   2                   1                   3                   3                   3                   3                   7                   8                   8                   8                   2                   
