Time                CORE-spark-VM       CG-spark-VM         CT-spark-VM         WT-spark-VM         CORE-kafka-VM       CG-kafka-VM         CT-kafka-VM         WT-kafka-VM         CORE-cassandra-VM   CORE-spark-cont     CG-spark-cont       CT-spark-cont       WT-spark-cont       CORE-kafka-cont     CG-kafka-cont       CT-kafka-cont       WT-kafka-cont       CORE-cassandra-cont 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1486701244               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1486701252               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1486701261               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1486701283               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   
1486701292               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   3                   1                   
1486701301               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701310               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701319               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701328               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701337               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701345               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701355               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701363               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701372               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701381               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701390               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701398               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701406               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701414               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701422               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701430               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701437               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   2                   1                   1                   1                   4                   1                   
1486701445               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   5                   1                   
1486701452               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   7                   1                   
1486701460               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701468               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701476               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701483               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701491               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701498               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701506               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701513               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701520               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701528               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701536               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701544               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701554               1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701562               1                   1                   1                   1                   1                   1                   1                   3                   1                   1                   1                   1                   3                   1                   1                   1                   8                   1                   
1486701572               1                   1                   1                   1                   1                   1                   1                   3                   1                   1                   1                   1                   3                   1                   1                   1                   9                   1                   
1486701581               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   4                   1                   1                   1                   10                  1                   
1486701590               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   5                   1                   1                   1                   11                  1                   
1486701598               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701606               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701614               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701622               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701629               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701637               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701644               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701653               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701660               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701668               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701675               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701684               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701692               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701701               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701709               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701716               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701724               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701732               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701740               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701747               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701755               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701764               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701773               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701781               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701790               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701800               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701807               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701815               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701823               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701831               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701840               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701848               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701855               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701862               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701869               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701877               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701884               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701893               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701900               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701908               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701916               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701923               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701954               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   1                   1                   12                  2                   
1486701962               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   1                   2                   2                   12                  2                   
1486701969               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   1                   1                   6                   2                   3                   2                   12                  2                   
1486701978               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   2                   1                   6                   2                   3                   3                   12                  2                   
1486701986               1                   1                   1                   2                   1                   1                   1                   3                   1                   1                   2                   2                   6                   3                   3                   3                   12                  2                   
1486701995               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   3                   4                   3                   12                  2                   
1486702002               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702010               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702017               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702024               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702031               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702039               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702046               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702054               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702061               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702069               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702076               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702084               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702092               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702101               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702110               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
1486702118               1                   1                   1                   2                   1                   1                   1                   3                   1                   2                   2                   2                   6                   4                   4                   4                   12                  2                   
